Image,whale_26686,whale_69459,whale_74062,whale_34656,whale_05784,whale_47768,whale_88432,whale_58747,whale_54574,whale_17785,whale_26397,whale_17601,whale_81875,whale_37654,whale_27860,whale_94176,whale_43961,whale_48497,whale_77693,whale_25659,whale_97688,whale_26212,whale_03103,whale_59173,whale_22118,whale_61924,whale_77984,whale_63541,whale_64937,whale_43971,whale_04373,whale_32702,whale_74683,whale_74162,whale_04397,whale_25878,whale_73684,whale_16576,whale_64989,whale_29569,whale_03227,whale_15434,whale_76398,whale_16762,whale_83157,whale_81768,whale_45367,whale_87155,whale_45728,whale_26654,whale_33152,whale_14892,whale_84178,whale_08324,whale_38288,whale_91826,whale_34488,whale_20448,whale_47734,whale_39293,whale_64526,whale_08700,whale_37658,whale_80405,whale_04480,whale_98633,whale_18845,whale_18989,whale_68338,whale_56281,whale_24679,whale_46747,whale_48966,whale_31739,whale_78785,whale_35004,whale_59255,whale_79648,whale_35594,whale_18158,whale_19027,whale_38191,whale_45294,whale_44747,whale_36851,whale_88085,whale_23525,whale_89456,whale_90271,whale_96385,whale_81915,whale_98618,whale_95831,whale_30331,whale_84963,whale_64006,whale_08439,whale_58010,whale_58474,whale_27221,whale_33723,whale_49237,whale_66353,whale_07863,whale_82554,whale_42191,whale_80247,whale_86158,whale_66935,whale_55550,whale_89271,whale_22101,whale_03728,whale_52759,whale_10021,whale_73666,whale_54920,whale_86377,whale_17604,whale_52749,whale_62939,whale_90377,whale_03990,whale_13288,whale_86206,whale_69619,whale_90929,whale_53580,whale_45465,whale_22448,whale_14626,whale_74935,whale_05140,whale_54497,whale_87622,whale_09422,whale_12820,whale_66852,whale_34798,whale_06967,whale_09651,whale_73592,whale_99573,whale_69943,whale_02411,whale_68789,whale_75682,whale_79948,whale_73167,whale_97882,whale_40483,whale_88547,whale_57251,whale_72820,whale_47700,whale_08923,whale_82089,whale_73080,whale_24815,whale_27085,whale_83892,whale_22059,whale_37301,whale_48386,whale_32087,whale_47062,whale_96240,whale_38894,whale_44127,whale_46169,whale_64634,whale_86081,whale_05349,whale_36154,whale_52998,whale_65586,whale_82602,whale_34513,whale_36300,whale_38008,whale_36437,whale_61728,whale_10583,whale_49135,whale_31594,whale_97440,whale_27820,whale_70138,whale_33140,whale_44071,whale_55861,whale_90446,whale_12074,whale_99326,whale_36648,whale_64299,whale_39674,whale_75932,whale_60451,whale_08637,whale_64274,whale_78565,whale_07483,whale_38906,whale_28892,whale_23467,whale_78628,whale_90911,whale_95370,whale_15079,whale_82548,whale_79193,whale_12085,whale_07808,whale_74625,whale_34813,whale_16406,whale_79199,whale_03623,whale_68774,whale_85670,whale_90957,whale_29858,whale_49877,whale_48490,whale_39915,whale_43045,whale_04540,whale_16738,whale_09062,whale_19041,whale_67614,whale_67801,whale_24730,whale_06069,whale_81818,whale_05661,whale_33961,whale_41776,whale_64714,whale_92686,whale_00442,whale_06334,whale_70904,whale_88147,whale_66711,whale_87291,whale_28216,whale_92153,whale_23821,whale_72235,whale_85464,whale_66539,whale_13789,whale_33195,whale_92465,whale_94546,whale_11242,whale_71554,whale_32021,whale_55333,whale_66421,whale_78372,whale_27834,whale_75215,whale_79166,whale_21873,whale_14094,whale_13863,whale_65263,whale_69084,whale_49491,whale_47858,whale_06339,whale_52505,whale_74828,whale_23118,whale_81136,whale_73136,whale_51603,whale_88746,whale_23847,whale_06997,whale_14270,whale_82387,whale_80947,whale_68116,whale_72327,whale_98939,whale_37154,whale_26288,whale_79439,whale_97542,whale_05487,whale_48633,whale_12661,whale_02839,whale_09913,whale_13701,whale_11555,whale_41805,whale_98151,whale_89615,whale_78280,whale_19906,whale_15519,whale_89541,whale_07647,whale_32198,whale_99558,whale_03935,whale_95091,whale_11076,whale_44699,whale_74232,whale_25715,whale_75767,whale_35430,whale_67407,whale_83791,whale_57338,whale_41125,whale_38302,whale_23855,whale_40885,whale_80124,whale_64903,whale_51195,whale_21160,whale_43374,whale_55079,whale_23367,whale_88756,whale_76782,whale_86585,whale_10977,whale_21213,whale_78395,whale_17327,whale_11708,whale_11099,whale_49832,whale_22212,whale_90966,whale_34663,whale_51332,whale_11625,whale_07331,whale_12609,whale_53079,whale_52100,whale_08017,whale_08181,whale_82064,whale_40190,whale_79823,whale_98645,whale_45062,whale_65737,whale_51114,whale_59627,whale_54850,whale_43326,whale_63816,whale_98996,whale_08729,whale_90244,whale_97924,whale_04435,whale_50021,whale_71062,whale_36231,whale_66205,whale_29172,whale_21655,whale_37269,whale_00195,whale_87604,whale_46974,whale_49277,whale_15615,whale_28263,whale_65057,whale_15078,whale_92515,whale_64496,whale_88478,whale_84264,whale_24458,whale_38437,whale_17528,whale_10005,whale_29294,whale_54796,whale_22848,whale_67685,whale_61260,whale_74439,whale_88226,whale_61461,whale_90820,whale_75455,whale_86527,whale_28384,whale_52342,whale_48415,whale_49210,whale_53889,whale_48024,whale_58362,whale_75413,whale_58972,whale_35426,whale_67611,whale_09181,whale_90141,whale_20248,whale_09454,whale_49530,whale_37014,whale_35844,whale_22297,whale_81960,whale_63948,whale_60921,whale_41881,whale_39689,whale_89211,whale_51538,whale_62655,whale_98507,whale_38817,whale_38543,whale_86041,whale_87420,whale_99243,whale_48813,whale_98746,whale_41921,whale_30074,whale_38681,whale_58309,whale_67036,whale_02608,whale_60729,whale_40169,whale_23574
"w_5660.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194062,0,0,0,0.0399423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112175,0,0,0,0,0,0
"w_910.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00781916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00596704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329852,0,0,0,0,0,0,0,0,0,0,0,0,0.00556962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472843,0,0,0,0.769148,0,0,0,0,0,0
"w_1897.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.0639942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243509,0,0,0,0,0,0,0,0,0,0,0,0,0.0399738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188119,0,0,0,0,0,0,0,0,0,0
"w_9057.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13196e-007,0,0,0,0,0,0,0,0,0,0,0,2.38412e-007,0,0,0,0,0,0,0,0,0,0,0,1.00191e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59705e-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93667e-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67104e-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93554e-007,0,0,0,0,0,2.9716e-007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27769e-007,0.999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w_8886.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140274,0,0,0,0.0112338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00790455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100874,0,0,0,0,0,0
"w_3887.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4.02355e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64602e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59024e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76926e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48729e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03436e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67901e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916959,0,0,0,8.74495e-006,0,0,0,0,0,0
"w_2437.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.000100244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68941e-005,0,0,9.53418e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132377,0.997714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000367046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35823e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116195,0,0,0,8.0431e-005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w_160.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234873,0,0,0,0.020436,0,0,0,0,0,0,0,0,0.0340753,0,0,0,0,0,0,0,0,0,0,0,0,0.0215695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w_5831.jpg",0,0.008844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650198,0,0,0,0.00735916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00429282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w_9173.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108939,0,0,0,0.0234563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137669,0,0,0,0,0,0,0,0,0,0,0,0,0.0240878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355088,0.0304174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
